"Delete Order","Delete Order"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Only selected order status can be deleted. Please check Delete Order <a href='%1'>configuration.</a>","Only selected order status can be deleted. Please check Delete Order <a href='%1'>configuration.</a>"
"Please check delete order <a href='%1'>configuration.</a>","Please check delete order <a href='%1'>configuration.</a>"
"Order does not exist.","Order does not exist."
"Order has been deleted successfully.","Order has been deleted successfully."
"Total of %1 record were successfully deleted.","Total of %1 record were successfully deleted."
"Some order(s) could not be deleted. Only selected order status can be deleted.","Some order(s) could not be deleted. Only selected order status can be deleted."
"Delete Orders","Delete Orders"
"Are you sure you wan't to delete selected order(s)?","Are you sure you wan't to delete selected order(s)?"
"Select Order Status","Select Order Status"
"Order Status","Order Status"
"Only selected order can be deleted.","Only selected order can be deleted."
